Name,Location,Instructor,Date,OT Points,Total Calories (kCal),Avg HR,Avg Max HR,Workout ID,Username,Studio
Orange 60,In Studio,Zach,04/15/2018 at 9:30AM,17,567,149,0.76,,RUNJINIM0,waikiki
Orange 60,In Studio,Zach,02/19/2018 at 5:30PM,18,586,152,0.78,,RUNJINIM0,waikiki
Orange 60,In Studio,Zach,03/12/2018 at 5:30PM,20,612,152,0.77,,RUNJINIM0,waikiki
Orange 60,In Studio,Zach,04/13/2018 at 5:30PM,25,576,155,0.79,,RUNJINIM0,waikiki
Orange 60,In Studio,Zach,04/20/2018 at 5:30PM,25,596,159,0.81,,RUNJINIM0,waikiki
Orange 60,In Studio,Zach,10/22/2017 at 8:15AM,4,531,137,0.7,,RUNJINIM0,waikiki
Orange 60,In Studio,Zach,09/20/2017 at 9:30AM,5,520,144,0.73,,RUNJINIM0,waikiki
Orange 60,In Studio,Zach,01/28/2018 at 9:30AM,7,521,140,0.72,,RUNJINIM0,waikiki
Orange 60,In Studio,Zach,10/01/2017 at 10:45AM,12,511,141,0.72,,RUNJINIM0,waikiki
Orange 60,In Studio,Zach,12/10/2017 at 8:15AM,12,547,147,0.75,,RUNJINIM0,waikiki
Orange 60,In Studio,Zach,10/16/2017 at 5:30PM,13,575,148,0.75,,RUNJINIM0,waikiki
Orange 60,In Studio,Zach,01/29/2018 at 5:30PM,14,540,144,0.73,,RUNJINIM0,waikiki
Orange 60,In Studio,Zach,12/03/2017 at 10:45AM,15,600,151,0.77,,RUNJINIM0,waikiki
Orange 60,In Studio,Zach,09/17/2017 at 8:15AM,16,519,152,0.78,,RUNJINIM0,waikiki
Orange 60,In Studio,Zach,10/15/2017 at 8:15AM,18,648,152,0.78,,RUNJINIM0,waikiki
Orange 60,In Studio,Zach,10/09/2017 at 5:30PM,20,568,153,0.78,,RUNJINIM0,waikiki
Orange 60,In Studio,Zach,10/29/2017 at 8:15AM,22,581,157,0.8,,RUNJINIM0,waikiki
Orange 60,In Studio,Zach,11/12/2017 at 9:30AM,24,623,154,0.79,,RUNJINIM0,waikiki
Orange 60,In Studio,Zach,07/22/2017 at 1:00PM,29,624,159,0.81,,RUNJINIM0,waikiki
Orange 60,In Studio,Zach,05/28/2018 at 5:30PM,,,,,,,
My Workouts,Out of Studio,,06/15/2018 at 4:42PM,6,577,,,198081443,RUNJINIM0,waikiki
Orange 60,In Studio,,07/31/2017 at 6:45PM,14,529,151,0.77,,RUNJINIM0,
Orange 60,In Studio,,03/01/2018 at 9:00AM,16,535,151,0.77,,RUNJINIM0,
Orange 60,In Studio,,08/09/2017 at 5:30PM,16,509,150,0.76,,RUNJINIM0,
Orange 60,In Studio,,08/06/2017 at 8:15AM,19,605,155,0.79,,RUNJINIM0,
Orange 60,In Studio,,08/12/2017 at 8:15AM,20,586,154,0.79,,RUNJINIM0,waikiki
Orange 60,In Studio,,08/07/2017 at 5:30PM,26,612,157,0.8,,RUNJINIM0,
