"CP_X.x","CP_Station.Name.x","CP_Org.Name.x","CP_Address.1.x","CP_City.x","CP_State.x","CP_Postal.Code","CP_County","CP_Country","CP_No..of.Ports.x","CP_Station.Activation.Type.x","CP_Customer.Category.x","CP_addresses","CP_lon.x","CP_lat.x","CP_X.y","CP_Station.Name.y","CP_Org.Name.y","CP_Address.1.y","CP_City.y","CP_State.y","CP_No..of.Ports.y","CP_Station.Activation.Type.y","CP_Customer.Category.y","CP_lon.y","CP_lat.y","EV_Station.name","EV_Ports","EV_Number.of.Stations","EV_NewLat","EV_NewLong"
20,"TARGET CORP / KAILUA T2697","Target Corporation","345 Hahani St","Kailua","Hawaii",96734,"Honolulu County","United States",2,"Public","Retail","345 Hahani St,Kailua,Hawaii",NA,NA,20,"TARGET CORP / KAILUA T2697","Target Corporation","345 Hahani St","Kailua","Hawaii",2,"Public","Retail",-157.7394305,21.3914281,"Target- Kailua",2,2,21.39055,-157.7397
21,"TARGET CORP / KAHULUI T2660 2","Target Corporation","100 Ho'okele St","Kahului","Hawaii",96732,"Maui County","United States",2,"Public","Retail","100 Ho'okele St,Kahului,Hawaii",NA,NA,21,"TARGET CORP / KAHULUI T2660 2","Target Corporation","100 Ho'okele St","Kahului","Hawaii",2,"Public","Retail",-156.4552368,20.8741306,"Target Corp Maui - Kahului",2,1,20.87526,-156.45665
21,"TARGET CORP / KAHULUI T2660 2","Target Corporation","100 Ho'okele St","Kahului","Hawaii",96732,"Maui County","United States",2,"Public","Retail","100 Ho'okele St,Kahului,Hawaii",NA,NA,22,"TARGET CORP / KAHULUI T2660","Target Corporation","100 Ho'okele St","Kahului","Hawaii",2,"Public","Retail",-156.4552368,20.8741306,"Target Corp Maui - Kahului",2,1,20.87526,-156.45665
22,"TARGET CORP / KAHULUI T2660","Target Corporation","100 Ho'okele St","Kahului","Hawaii",96732,"Maui County","United States",2,"Public","Retail","100 Ho'okele St,Kahului,Hawaii",NA,NA,21,"TARGET CORP / KAHULUI T2660 2","Target Corporation","100 Ho'okele St","Kahului","Hawaii",2,"Public","Retail",-156.4552368,20.8741306,"Target Corp Maui - Kahului",2,1,20.87526,-156.45665
22,"TARGET CORP / KAHULUI T2660","Target Corporation","100 Ho'okele St","Kahului","Hawaii",96732,"Maui County","United States",2,"Public","Retail","100 Ho'okele St,Kahului,Hawaii",NA,NA,22,"TARGET CORP / KAHULUI T2660","Target Corporation","100 Ho'okele St","Kahului","Hawaii",2,"Public","Retail",-156.4552368,20.8741306,"Target Corp Maui - Kahului",2,1,20.87526,-156.45665
24,"TARGET CORP / HONOLULU T3978","Target Corporation","4380 Lawehana St","Honolulu","Hawaii",96818,"Honolulu County","United States",2,"Public","Retail","4380 Lawehana St,Honolulu,Hawaii",NA,NA,24,"TARGET CORP / HONOLULU T3978","Target Corporation","4380 Lawehana St","Honolulu","Hawaii",2,"Public","Retail",-157.929448,21.3553179,"Target- Honolulu",2,1,21.35583,-157.92927
24,"TARGET CORP / HONOLULU T3978","Target Corporation","4380 Lawehana St","Honolulu","Hawaii",96818,"Honolulu County","United States",2,"Public","Retail","4380 Lawehana St,Honolulu,Hawaii",NA,NA,24,"TARGET CORP / HONOLULU T3978","Target Corporation","4380 Lawehana St","Honolulu","Hawaii",2,"Public","Retail",-157.929448,21.3553179,"Target -Salt Lake",2,2,21.35483,-157.92881
25,"TARGET CORP / HILO T2682 2","Target Corporation","391 Makaala St","Hilo","Hawaii",96720,NA,"United States",2,"Public","Retail","391 Makaala St,Hilo,Hawaii",NA,NA,25,"TARGET CORP / HILO T2682 2","Target Corporation","391 Makaala St","Hilo","Hawaii",2,"Public","Retail",-155.0599936,19.7010308,"Target- Hilo",2,1,19.70077,-155.05943
25,"TARGET CORP / HILO T2682 2","Target Corporation","391 Makaala St","Hilo","Hawaii",96720,NA,"United States",2,"Public","Retail","391 Makaala St,Hilo,Hawaii",NA,NA,26,"TARGET CORP / HILO T2682","Target Corporation","391 Makaala St","Hilo","Hawaii",2,"Public","Retail",-155.0599936,19.7010308,"Target- Hilo",2,1,19.70077,-155.05943
26,"TARGET CORP / HILO T2682","Target Corporation","391 Makaala St","Hilo","Hawaii",96720,"Hawaii County","United States",2,"Public","Retail","391 Makaala St,Hilo,Hawaii",NA,NA,25,"TARGET CORP / HILO T2682 2","Target Corporation","391 Makaala St","Hilo","Hawaii",2,"Public","Retail",-155.0599936,19.7010308,"Target- Hilo",2,1,19.70077,-155.05943
26,"TARGET CORP / HILO T2682","Target Corporation","391 Makaala St","Hilo","Hawaii",96720,"Hawaii County","United States",2,"Public","Retail","391 Makaala St,Hilo,Hawaii",NA,NA,26,"TARGET CORP / HILO T2682","Target Corporation","391 Makaala St","Hilo","Hawaii",2,"Public","Retail",-155.0599936,19.7010308,"Target- Hilo",2,1,19.70077,-155.05943
33,"SP PLUS / STATION 1","SP Plus Kona International Airport","73-200 Kupipi St","Kailua-Kona","Hawaii",96740,"Hawaii County","United States",2,"Public","Parking","73-200 Kupipi St,Kailua-Kona,Hawaii",NA,NA,33,"SP PLUS / STATION 1","SP Plus Kona International Airport","73-200 Kupipi St","Kailua-Kona","Hawaii",2,"Public","Parking",-156.0408423,19.7393619,"Kona International Airport at Keahole",2,2,19.7393794444444,-156.041009722222
37,"POHAI NANI / STATION 01","Good Samaritan Society - Pohai Nani","575 Cooke St","Honolulu","Hawaii",96813,NA,"United States",2,"Public","Multifamily Commercial","575 Cooke St,Honolulu,Hawaii",NA,NA,37,"POHAI NANI / STATION 01","Good Samaritan Society - Pohai Nani","575 Cooke St","Honolulu","Hawaii",2,"Public","Multifamily Commercial",-157.8571881,21.299434,"Cool Roof Store",1,1,21.2994927777778,-157.85726
